3,0000 0000 0000 0000 0000 001E,-63.00,4.921,-1.0625,1439303062177179
3,0000 0000 0000 0000 0000 001E,-61.00,1.792,18.25,1439303062201296
4,0000 0000 0000 0000 0000 001E,-66.00,1.086,-0.25,1439303062310637
2,0000 0000 0000 0000 0000 001E,-71.00,4.344,5.0625,1439303062492595
2,0000 0000 0000 0000 0000 001E,-71.50,4.645,-1.0625,1439303062537234
3,0000 0000 0000 0000 0000 001E,-63.50,0.411,0.75,1439303062619618
3,0000 0000 0000 0000 0000 001E,-60.50,2.908,39.0625,1439303062959983
3,0000 0000 0000 0000 0000 001E,-61.00,2.958,39.0625,1439303062995726
1,0000 0000 0000 0000 0000 001E,-62.50,1.264,62.25,1439303063155067
1,0000 0000 0000 0000 0000 001E,-63.00,1.295,-41.5,1439303063190821
3,0000 0000 0000 0000 0000 001E,-63.00,1.331,93.9375,1439303063366428
3,0000 0000 0000 0000 0000 001E,-63.00,1.546,-91.5,1439303063428897
1,0000 0000 0000 0000 0000 001E,-64.00,3.178,109.8125,1439303063572872
1,0000 0000 0000 0000 0000 001E,-64.50,3.878,-206.25,1439303063625685
3,0000 0000 0000 0000 0000 001E,-61.50,0.896,-43.9375,1439303063865345
3,0000 0000 0000 0000 0000 001E,-61.00,4.393,-50,1439303063950744
1,0000 0000 0000 0000 0000 001E,-62.50,0.436,-167.1875,1439303064110185
1,0000 0000 0000 0000 0000 001E,-63.50,0.331,-41.5,1439303064149351
3,0000 0000 0000 0000 0000 001E,-62.00,0.927,57.3125,1439303064312591
3,0000 0000 0000 0000 0000 001E,-63.50,0.927,23.1875,1439303064344640
3,0000 0000 0000 0000 0000 001E,-62.00,0.810,-117.1875,1439303064730187
3,0000 0000 0000 0000 0000 001E,-63.00,0.601,-13.375,1439303064754731
1,0000 0000 0000 0000 0000 001E,-66.00,5.927,1.1875,1439303064961307
1,0000 0000 0000 0000 0000 001E,-65.00,2.872,-52.4375,1439303064981424
