2519,0,0,0,4,0,0,0,0,8,0,132,0,0,0,1532,0,0,0,0,775,876,1592,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1488,8,8,0,8,0,0,0,0,24,8,0,825.4,688.4,0,622.2,308,0,0,0,3780.8,3694.4,1046.8,2,2,2,2,2,2,2,2,2,2,2,0.025212,0.025212,-0,0.025212,-0,-0,-0,-0,0.045415,0.025212,-0,0,0,0,0,0,0,0,0,0.21484,0,0,0,0,0,0,1,0,0,1,0,0,0
2485,8,0,0,4,0,0,0,0,8,8,140,446,643,0,2399,579,0,0,0,1930,2399,1643,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
986,0,8,0,128,0,0,0,0,0,0,0,435,633,0,3764,0,0,0,0,4107,875,0,2,2,2,0,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,802,0,0,0,0,2530.8,3107.6,934.87,2,2,2,2,2,2,2,2,2,2,2,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,0,32,0,0,0,0,0,8,192,0,0,0,508,0,0,0,0,4100,2239,1952,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
988,0,8,0,13,8,0,0,0,170,10,217,848,1486,0,3172,1295,0,0,0,5411,5930,1109,2,2,2,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1703,8,1,0,38,8,0,0,0,218,34,221,615,1167,0,3000,942,0,0,0,5385,2776,1662,2,2,2,0,2,2,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1974,0,0,0,0,8,0,0,0,16,0,8,0,348,0,409,227,0,0,0,1188,716,337,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
1590,0,0,0,8,0,0,0,0,8,0,8,196,881,0,996,269,0,0,0,2044,2639,1029,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
169,0,0,0,128,8,0,0,0,0,8,136,501.6,805.2,0,2812.6,570.6,0,0,0,4711.2,3894.2,293.8,2,2,2,-0.0014163,2,2,2,2,2,2,-0.0024556,-0,-0,-0,0.063721,0.025212,-0,-0,-0,-0,0.025212,0.096945,0,0,0,0,0,0,0,0,0,0,0.019531,0,0,0,0,0,0,0,0,0,0,0
2408,0,8,0,8,0,0,0,0,8,8,4,0,1895,0,693,567,0,0,0,2767,3314,650,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
801,0,8,0,0,0,0,0,0,8,0,8,0,1343,0,1695,0,0,0,0,4154,3845,1874,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609,8,0,0,8,0,0,0,0,0,8,16,465,385,0,567,126,0,0,0,413,1317,1094,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
534,0,0,0,136,0,0,0,0,0,0,128,0,0,0,821.2,156.2,0,0,0,1621.6,371.6,3053,2,2,2,2,2,2,2,2,2,2,-0.001001,-0,-0,-0,0.025212,-0,-0,-0,-0,-0,-0,0.045415,0,0,0,0,0,0,0,0,0,0,0.019531,0,0,0,0,0,0,1,1,0,0,0
2369,0,0,0,0,0,0,0,0,0,0,0,0,1176,0,0,0,0,0,0,0,808,297,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2130,0,0,0,8,8,0,0,0,0,0,8,325,0,0,458,2082,0,0,0,487,2277,843,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
789,8,0,0,74,0,0,0,0,8,8,74,304,925,0,1263,166,0,0,0,2819,3601,1126,2,2,2,0,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
